Pop	Rep	Subrep	Subsubrep	Female_Num	Dry_Weight	Egg_Num
H	1	1	A	135	0.38797	8290
H	1	2	A	144	0.38951	8301
H	1	3	A	161	0.38	9243
H	2	1	A	165	0.395062	9931
H	2	1	B	164	0.39441	8378
H	2	2	A	149	0.386395	8604
H	2	2	B	132	0.399237	8560
H	2	3	A	151	0.391391	10046
H	3	1	A	151	0.379195	8332
H	3	2	A	164	0.395062	10771
H	3	2	B	117	0.396552	9093
H	3	3	A	150	0.428667	8693
H	4	1	A	153	0.390789	7546
H	4	2	A	160	0.39875	8623
H	4	3	A	179	0.380337	8082
H	5	1	A	167	0.375449	9506
H	5	2	A	151	0.377703	8674
H	5	3	A	157	0.375974	9143
H	6	1	A	149	0.35906	8933
H	6	1	B	155	0.369281	7739
H	6	2	A	138	0.385926	8795
H	6	2	B	161	0.390062	7312
H	6	3	A	141	0.368571	8273
H	6	3	B	157	0.365385	9179
H	7	1	A	155	0.393548	9962
H	7	2	A	150	0.388667	8469
H	7	3	A	144	0.369231	9490
H	7	3	B	144	0.387324	7852
H	8	1	A	151	0.383333	8932
H	8	2	A	149	0.367114	8725
H	8	2	B	145	0.362238	8144
H	8	3	A	140	0.376429	9594
H	8	3	B	158	0.375949	8483
H	9	1	A	136	0.397778	8744
H	9	2	A	154	0.396154	9172
H	9	2	B	160	0.405063	9909
H	9	2	C	133	0.426718	8356
H	9	3	A	147	0.395172	9098
H	10	1	A	145	0.399296	9698
H	10	2	A	158	0.405161	9213
H	10	3	A	134	0.396992	8718
B	1	1	A	103	0.448039	4782
B	1	1	A	131	0.463077	5962
B	1	1	A	126	0.470732	6136
B	1	1	A	112	0.462162	6181
B	1	1	A	133	0.415504	4477
B	1	1	A	157	0.406452	4641
B	1	1	A	106	0.444231	5616
B	1	1	A	131	0.449618	6584
B	1	1	A	127	0.465354	5609
