Pop	Rep	CO2	Dry_Weight	Num_Flies	Sex	CO2PerMg
H	1	29.22429701	0.38137931	145	F	0.5284683
H	1	27.57468993	0.367515924	157	F	0.477897572
H	1	23.65255142	0.39929078	141	F	0.420116366
H	2	27.43282257	0.370063694	157	F	0.472165621
H	2	27.58729061	0.405797101	138	F	0.49263019
H	3	26.71270279	0.402112676	142	F	0.467823166
H	3	24.30718284	0.422068966	145	F	0.39717619
H	3	13.11100051	0.408235294	84	F	0.38233671
H	4	31.79593968	0.437086093	151	F	0.481756662
H	4	27.83010365	0.375	154	F	0.481906557
H	4	27.27047353	0.405769231	156	F	0.430813168
H	5	29.08280183	0.365957447	141	F	0.563620191
H	5	27.43656974	0.350943396	157	F	0.497958426
H	5	25.13359705	0.368243243	148	F	0.461166918
H	6	26.22394483	0.37761194	134	F	0.518259779
H	6	24.01735375	0.368571429	140	F	0.465452592
H	6	23.25375241	0.396478873	141	F	0.415962214
H	7	30.77235997	0.410191083	157	F	0.477831677
H	7	28.79195992	0.388888889	153	F	0.483898486
H	7	27.14302313	0.405594406	143	F	0.467983157
H	8	32.66353442	0.434285714	140	F	0.537229185
H	8	33.37833628	0.40931677	161	F	0.506499792
H	8	26.89388506	0.408275862	145	F	0.454288599
H	9	29.15901807	0.4	138	F	0.528243081
H	9	30.07202768	0.413815789	151	F	0.481258826
H	9	25.91923922	0.417006803	147	F	0.422826088
H	10	31.2430509	0.437579618	157	F	0.454775122
H	10	29.85851975	0.42	150	F	0.473944758
H	10	25.62146512	0.443165468	139	F	0.415932875
B	1	25.17237741	0.404166667	144	F	0.432515076
B	1	23.02892336	0.406896552	145	F	0.390320735
B	1	20.86532635	0.363380282	142	F	0.40436679
B	1	24.57296465	0.408510638	141	F	0.42661397
B	1	27.23750442	0.392727273	217	F	0.319607173
B	1	25.25913606	0.380392157	152	F	0.436861075
B	1	28.25976246	0.420805369	148	F	0.453759279
B	1	27.76581187	0.409375	159	F	0.426571597
B	1	24.43748396	0.403472222	143	F	0.423552073
B	1	24.48736715	0.406164384	146	F	0.412940424
B	1	20.09834868	0.407333333	150	F	0.328941877
B	1	22.61721922	0.424137931	145	F	0.367759662
B	1	22.41677492	0.405035971	139	F	0.398166517
B	1	23.87139552	0.391275168	149	F	0.409457899
B	1	22.41112109	0.415107914	139	F	0.388407644
B	1	23.43070304	0.40397351	149	F	0.389265723
H	1	13.35631629	0.252980132	151	M	0.349641788
H	1	12.40097483	0.252631579	149	M	0.329444242
H	1	10.1684163	0.267132867	142	M	0.268063478
H	2	13.9897265	0.244520548	144	M	0.397311716
H	2	12.57703158	0.260248447	160	M	0.302043867
H	2	9.065253436	0.270588235	135	M	0.248163138
H	3	13.75806294	0.25704698	147	M	0.364105678
H	3	13.17131212	0.269230769	155	M	0.315625912
H	3	10.7049104	0.276351351	147	M	0.263514252
H	4	12.64357748	0.258503401	147	M	0.332725723
H	4	13.00868002	0.264670659	165	M	0.29788147
H	4	9.361011517	0.271328671	142	M	0.24296222
H	5	13.08387263	0.25	147	M	0.356023745
H	5	12.11690466	0.253459119	156	M	0.306449679
H	5	9.433225357	0.246853147	143	M	0.26723018
H	6	13.87814381	0.256081081	145	M	0.373754032
H	6	11.41273311	0.263571429	139	M	0.311513255
H	6	10.42575736	0.261486486	148	M	0.269399415
H	7	14.91693252	0.256462585	147	M	0.395674603
H	7	14.62273342	0.272222222	161	M	0.333640768
H	7	9.239488881	0.264539007	141	M	0.247707477
H	8	13.90661717	0.262820513	156	M	0.339185785
H	8	12.24291743	0.276	149	M	0.297707359
H	8	10.46215557	0.273103448	145	M	0.264195848
H	9	16.17446498	0.272903226	155	M	0.382375059
H	9	11.59568228	0.270469799	143	M	0.299806809
H	9	9.384927	0.274045802	131	M	0.261418579
H	9	9.650062941	0.270629371	143	M	0.249355632
H	10	13.44054889	0.276623377	154	M	0.315505843
H	10	11.59937527	0.274666667	147	M	0.287283913
H	10	9.836189608	0.287234043	141	M	0.242868879
B	1	12.42517862	0.240944882	127	M	0.406051589
B	1	13.46718158	0.25035461	141	M	0.38150656
B	1	12.97181452	0.264935065	152	M	0.322120007
B	1	12.30425086	0.267320261	152	M	0.302816623
B	1	12.76299447	0.256462585	145	M	0.343210498
B	1	11.16874171	0.252112676	142	M	0.311976026
B	1	10.59376323	0.266438356	146	M	0.272333245
B	1	10.78846482	0.262068966	144	M	0.285878545
B	1	10.02074786	0.266666667	143	M	0.26278185
B	1	11.10957902	0.272108844	146	M	0.279641801
B	1	10.24041532	0.260714286	140	M	0.280559324
B	1	10.1909687	0.245774648	142	M	0.292004834
B	1	9.793266734	0.254666667	150	M	0.256368239
B	1	8.754455669	0.252666667	149	M	0.232538533
