Sample	Selection	Treatment	group	batch
L1D-7-2CT	D	CT	D.CT	NS116
L1D-7-2D	D	D	D.D	NS116
L5H-13-2CT	H	CT	H.CT	NS116
L5H-13-2H	H	H	H.H	NS116
L5CT-2-2CT	CT	CT	CT.CT	NS116
L5-CT-2-2D	CT	D	CT.D	NS116
L5CT-2-2H	CT	H	CT.H	NS116
L5CT-2-2HD	CT	HD	CT.HD	NS116
L4CT-16-2CT	CT	CT	CT.CT	NS116
L4CT-16-2D	CT	D	CT.D	NS116
L1HD-3-2CT	HD	CT	HD.CT	NS116
L1HD-3-2HD	HD	HD	HD.HD	NS116
L1CT-4-3CT	CT	CT	CT.CT	NS116
L1CT-4-3D	CT	D	CT.D	NS116
L1CT-4-3H	CT	H	CT.H	NS116
L1CT-4-3HD	CT	HD	CT.HD	NS116
L4CT-16-2H	CT	H	CT.H	NS116
L4CT-16-2HD	CT	HD	CT.HD	NS116
L5CT-2-3CT	CT	CT	CT.CT	NS116
L5CT-2-3D	CT	D	CT.D	NS116
L1D-7-3CT	D	CT	D.CT	NS116
L1D-7-3D	D	D	D.D	NS116
L5H-13-3CT	H	CT	H.CT	NS116
L5H-13-3H	H	H	H.H	NS116
L1HD-3-3CT	HD	CT	HD.CT	NS116
L1HD-3-3HD	HD	HD	HD.HD	NS116
L2D-3-2CT	D	CT	D.CT	NS116
L2D-3-2D	D	D	D.D	NS116
L1H-15-2CT	H	CT	H.CT	NS116
L1H-15-2H	H	H	H.H	NS116
L3HD-4-3CT	HD	CT	HD.CT	NS116
L3HD-4-3HD	HD	HD	HD.HD	NS116
L4CT-16-3CT	CT	CT	CT.CT	NS116
L4CT-16-3D	CT	D	CT.D	NS116
L5CT-2-3H	CT	H	CT.H	NS116
L5CT-2-3HD	CT	HD	CT.HD	NS116
L1CT-4-1CT	CT	CT	CT.CT	NS117
L1CT-4-1D	CT	D	CT.D	NS117
L1CT-4-1H	CT	H	CT.H	NS117
L1CT-4-1HD	CT	HD	CT.HD	NS117
L4CT-16-1H	CT	H	CT.H	NS117
L4CT-16-1HD	CT	HD	CT.HD	NS117
L5CT-2-1CT	CT	CT	CT.CT	NS117
L5CT-2-1D	CT	D	CT.D	NS117
L1D-7-1CT	D	CT	D.CT	NS117
L1D-7-1D	D	D	D.D	NS117
L5H-13-1CT	H	CT	H.CT	NS117
L5H-13-1H	H	H	H.H	NS117
L1HD-3-1-CT	HD	CT	HD.CT	NS117
L1HD-3-1HD	HD	HD	HD.HD	NS117
L2D-3-1CT	D	CT	D.CT	NS117
L2D-3-1D	D	D	D.D	NS117
L1H-15-1CT	H	CT	H.CT	NS117
L1H-15-1H	H	H	H.H	NS117
L3HD-4-1CT	HD	CT	HD.CT	NS117
L3HD-4-1HD	HD	HD	HD.HD	NS117
L4CT-16-1CT	CT	CT	CT.CT	NS117
L4CT-16-1D	CT	D	CT.D	NS117
L5CT-2-1H	CT	H	CT.H	NS117
L5CT-2-1HD	CT	HD	CT.HD	NS117
L6D-5-1CT	D	CT	D.CT	NS117
L6D-5-1D	D	D	D.D	NS117
L4H-9-1CT	H	CT	H.CT	NS117
L4H-9-1H	H	H	H.H	NS117
L3HD-4-2CT	HD	CT	HD.CT	NS117
L3HD-4-2HD	HD	HD	HD.HD	NS117
L2HD-8-1CT	HD	CT	HD.CT	NS117
L2HD-8-1HD	HD	HD	HD.HD	NS117
L1CT-4-2CT	CT	CT	CT.CT	NS117
L1CT-4-2D	CT	D	CT.D	NS117
L1CT-4-2H	CT	H	CT.H	NS117
L1CT-4-2HD	CT	HD	CT.HD	NS117
L1H-15-3CT	H	CT	H.CT	NS118
L1H-15-4H	H	H	H.H	NS118
L6D-5-1H	D	H	D.H	NS118
L6D-5-2H	D	H	D.H	NS118
L2HD-8-3CT	HD	CT	HD.CT	NS118
L2HD-8-3HD	HD	HD	HD.HD	NS118
L1HD-3-3H	HD	H	HD.H	NS118
L1HD-3-4H	HD	H	HD.H	NS118
L6D-5-4H	D	H	D.H	NS118
L6D-13-2H	D	H	D.H	NS118
L1CT-4-4H	CT	H	CT.H	NS118
L1CT-4-4HD	CT	HD	CT.HD	NS118
L1D-13-4H	D	H	D.H	NS118
L1D-7-4H	D	H	D.H	NS118
L2D-3-3CT	D	CT	D.CT	NS118
L2D-3-3D	D	D	D.D	NS118
L1H-15-4CT	H	CT	H.CT	NS118
L4H-9-4CT	H	CT	H.CT	NS118
L1CT-4-4D	CT	D	CT.D	NS118
L5CT-2-4CT	CT	CT	CT.CT	NS118
L5CT2-4HD	CT	HD	CT.HD	NS118
L2HD-8-4CT	HD	CT	HD.CT	NS118
L2HD-8-2HD	HD	HD	HD.HD	NS118
L2HD-8-4HD	HD	HD	HD.HD	NS118
L2D-3-4D	D	D	D.D	NS118
L6D-5-4CT	D	CT	D.CT	NS118
L6D-5-3D	D	D	D.D	NS118
L4H-9-4H	H	H	H.H	NS118
L3HD-10-2H	HD	H	HD.H	NS118
L2HD-8-1H	HD	H	HD.H	NS118
L2HD-2-3H	HD	H	HD.H	NS118
L6D-13-4H	D	H	D.H	NS118
L6D-5-4D	D	D	D.D	NS118
L6D-5-3H	D	H	D.H	NS118
L4CT-16-4D	CT	D	CT.D	NS118
L4CT-16-4H	CT	H	CT.H	NS118
L1D-7-4CT	D	CT	D.CT	NS119
L1D-7-4D	D	D	D.D	NS119
L4H-9-2CT	H	CT	H.CT	NS119
L4H-9-2H	H	H	H.H	NS119
L3HD-4-1H	HD	H	HD.H	NS119
L3HD-4-2H	HD	H	HD.H	NS119
L1CT-4-4CT	CT	CT	CT.CT	NS119
L5CT-2-4D	CT	D	CT.D	NS119
L4CT-16-3H	CT	H	CT.H	NS119
L4H-9-3CT	H	CT	H.CT	NS119
L4H-9-3H	H	H	H.H	NS119
L1HD-3-1H	HD	H	HD.H	NS119
L1HD-3-2H	HD	H	HD.H	NS119
L2HD-8-2CT	HD	CT	HD.CT	NS119
L5H-13-4CT	H	CT	H.CT	NS119
